,Date,Class
861,2016-05-18,0
862,2016-05-17,0
863,2016-05-17,-1
864,2016-05-16,0
865,2016-05-16,0
866,2016-05-16,0
867,2016-05-16,0
868,2016-05-16,0
869,2016-05-15,0
870,2016-05-13,0
871,2016-05-13,0
872,2016-05-12,0
873,2016-05-12,0
874,2016-05-11,0
875,2016-05-11,0
876,2016-05-10,0
877,2016-05-10,0
878,2016-05-10,0
879,2016-05-06,0
880,2016-05-06,-1
881,2016-05-04,0
882,2016-05-04,0
883,2016-05-04,0
884,2016-05-03,1
885,2016-05-03,1
886,2016-05-02,-1
887,2016-05-02,0
888,2016-05-01,0
889,2016-04-29,-1
890,2016-04-29,-1
891,2016-04-29,0
892,2016-04-28,0
893,2016-04-28,0
894,2016-04-27,1
895,2016-04-26,0
896,2016-04-26,0
897,2016-04-26,0
898,2016-04-25,0
899,2016-04-25,0
900,2016-04-25,0
901,2016-04-24,0
902,2016-04-22,0
903,2016-04-22,-1
904,2016-04-22,0
905,2016-04-21,0
906,2016-04-21,0
907,2016-04-21,0
908,2016-04-21,0
909,2016-04-21,0
910,2016-04-21,0
911,2016-04-21,0
912,2016-04-21,0
913,2016-04-21,0
914,2016-04-21,0
915,2016-04-21,0
916,2016-04-21,0
917,2016-04-21,0
918,2016-04-21,0
919,2016-04-21,0
920,2016-04-20,1
921,2016-04-20,0
922,2016-04-20,0
923,2016-04-20,0
924,2016-04-19,1
925,2016-04-19,0
926,2016-04-18,0
927,2016-04-18,0
928,2016-04-15,0
929,2016-04-14,0
930,2016-04-12,0
931,2016-04-11,0
932,2016-04-11,0
933,2016-04-11,0
934,2016-04-11,0
935,2016-04-10,0
936,2016-04-10,0
937,2016-04-08,0
938,2016-04-08,0
939,2016-04-08,0
940,2016-04-08,0
941,2016-04-07,0
942,2016-04-07,0
943,2016-04-07,0
944,2016-04-07,0
945,2016-04-05,1
946,2016-04-02,0
947,2016-03-31,0
948,2016-03-31,0
949,2016-03-31,0
950,2016-03-30,0
951,2016-03-30,0
952,2016-03-30,-1
953,2016-03-30,0
954,2016-03-30,0
955,2016-03-29,0
956,2016-03-28,0
957,2016-03-28,0
958,2016-03-28,0
959,2016-03-27,0
960,2016-03-27,0
961,2016-03-27,0
962,2016-03-26,0
963,2016-03-25,0
964,2016-03-24,0
965,2016-03-24,0
966,2016-03-24,0
967,2016-03-21,0
968,2016-03-20,0
969,2016-03-17,0
970,2016-03-17,0
971,2016-03-15,0
972,2016-03-15,1
973,2016-03-15,0
974,2016-03-14,0
975,2016-03-14,0
976,2016-03-12,0
977,2016-03-11,1
978,2016-03-11,0
979,2016-03-11,0
980,2016-03-11,0
981,2016-03-11,0
982,2016-03-11,0
983,2016-03-10,0
984,2016-03-09,0
985,2016-03-09,0
986,2016-03-09,0
987,2016-03-09,0
988,2016-03-09,0
989,2016-03-09,0
990,2016-03-08,0
991,2016-03-08,0
992,2016-03-07,0
993,2016-03-07,0
994,2016-03-06,0
995,2016-03-04,0
996,2016-03-04,0
997,2016-03-04,0
998,2016-03-03,0
999,2016-03-03,0
1000,2016-03-02,0
1001,2016-03-02,0
1002,2016-03-02,0
1003,2016-03-02,0
1004,2016-03-02,0
1005,2016-03-01,-1
1006,2016-03-01,-1
1007,2016-03-01,-1
1008,2016-03-01,-1
1009,2016-03-01,0
1010,2016-03-01,0
1011,2016-02-29,0
1012,2016-02-29,0
1013,2016-02-29,0
1014,2016-02-29,0
1015,2016-02-29,0
1016,2016-02-28,0
1017,2016-02-26,1
1018,2016-02-25,0
1019,2016-02-25,0
1020,2016-02-25,0
1021,2016-02-25,0
1022,2016-02-24,0
1023,2016-02-24,0
1024,2016-02-24,1
